Mod:Item:MetaData, Localized Name
animania:entity_egg_cow_hereford, item.animania_entity_egg_cow_hereford.name
animania:entity_egg_bull_hereford, item.animania_entity_egg_bull_hereford.name
animania:entity_egg_calf_holstein, item.animania_entity_egg_calf_holstein.name
animania:entity_egg_cow_holstein, item.animania_entity_egg_cow_holstein.name
animania:entity_egg_bull_holstein, item.animania_entity_egg_bull_holstein.name
animania:entity_egg_calf_longhorn, item.animania_entity_egg_calf_longhorn.name
animania:entity_egg_cow_longhorn, item.animania_entity_egg_cow_longhorn.name
animania:entity_egg_bull_longhorn, item.animania_entity_egg_bull_longhorn.name
animania:entity_egg_calf_highland, item.animania_entity_egg_calf_highland.name
animania:entity_egg_cow_highland, item.animania_entity_egg_cow_highland.name
animania:entity_egg_bull_highland, item.animania_entity_egg_bull_highland.name
animania:entity_egg_calf_jersey, item.animania_entity_egg_calf_jersey.name
animania:entity_egg_cow_jersey, item.animania_entity_egg_cow_jersey.name
animania:entity_egg_bull_jersey, item.animania_entity_egg_bull_jersey.name
animania:entity_egg_calf_mooshroom, item.animania_entity_egg_calf_mooshroom.name
animania:entity_egg_cow_mooshroom, item.animania_entity_egg_cow_mooshroom.name
animania:entity_egg_bull_mooshroom, item.animania_entity_egg_bull_mooshroom.name
animania:entity_egg_kid_alpine, item.animania_entity_egg_kid_alpine.name
animania:entity_egg_buck_alpine, item.animania_entity_egg_buck_alpine.name
animania:entity_egg_doe_alpine, item.animania_entity_egg_doe_alpine.name
animania:entity_egg_kid_angora, item.animania_entity_egg_kid_angora.name
animania:entity_egg_buck_angora, item.animania_entity_egg_buck_angora.name
animania:entity_egg_doe_angora, item.animania_entity_egg_doe_angora.name
animania:entity_egg_kid_fainting, item.animania_entity_egg_kid_fainting.name
animania:entity_egg_buck_fainting, item.animania_entity_egg_buck_fainting.name
animania:entity_egg_doe_fainting, item.animania_entity_egg_doe_fainting.name
animania:entity_egg_kid_kiko, item.animania_entity_egg_kid_kiko.name
animania:entity_egg_buck_kiko, item.animania_entity_egg_buck_kiko.name
animania:entity_egg_doe_kiko, item.animania_entity_egg_doe_kiko.name
animania:entity_egg_kid_kinder, item.animania_entity_egg_kid_kinder.name
animania:entity_egg_buck_kinder, item.animania_entity_egg_buck_kinder.name
animania:entity_egg_doe_kinder, item.animania_entity_egg_doe_kinder.name
animania:entity_egg_kid_nigerian_dwarf, item.animania_entity_egg_kid_nigerian_dwarf.name
animania:entity_egg_buck_nigerian_dwarf, item.animania_entity_egg_buck_nigerian_dwarf.name
animania:entity_egg_doe_nigerian_dwarf, item.animania_entity_egg_doe_nigerian_dwarf.name
animania:entity_egg_kid_pygmy, item.animania_entity_egg_kid_pygmy.name
animania:entity_egg_buck_pygmy, item.animania_entity_egg_buck_pygmy.name
animania:entity_egg_doe_pygmy, item.animania_entity_egg_doe_pygmy.name
animania:entity_egg_lamb_friesian, item.animania_entity_egg_lamb_friesian.name
animania:entity_egg_ewe_friesian, item.animania_entity_egg_ewe_friesian.name
animania:entity_egg_ram_friesian, item.animania_entity_egg_ram_friesian.name
animania:entity_egg_lamb_suffolk, item.animania_entity_egg_lamb_suffolk.name
animania:entity_egg_ewe_suffolk, item.animania_entity_egg_ewe_suffolk.name
animania:entity_egg_ram_suffolk, item.animania_entity_egg_ram_suffolk.name
animania:entity_egg_lamb_dorper, item.animania_entity_egg_lamb_dorper.name
animania:entity_egg_ewe_dorper, item.animania_entity_egg_ewe_dorper.name
animania:entity_egg_ram_dorper, item.animania_entity_egg_ram_dorper.name
animania:entity_egg_lamb_dorset, item.animania_entity_egg_lamb_dorset.name
animania:entity_egg_ewe_dorset, item.animania_entity_egg_ewe_dorset.name
animania:entity_egg_ram_dorset, item.animania_entity_egg_ram_dorset.name
animania:entity_egg_lamb_merino, item.animania_entity_egg_lamb_merino.name
animania:entity_egg_ewe_merino, item.animania_entity_egg_ewe_merino.name
animania:entity_egg_ram_merino, item.animania_entity_egg_ram_merino.name
animania:entity_egg_lamb_jacob, item.animania_entity_egg_lamb_jacob.name
animania:entity_egg_ewe_jacob, item.animania_entity_egg_ewe_jacob.name
animania:entity_egg_ram_jacob, item.animania_entity_egg_ram_jacob.name
animania:item_cart, Horse Cart
animania:item_wagon, Covered Wagon
animania:item_tiller, Tiller
animania:carving_knife, Carving Knife
animania:salt, Crystal Salt
animania:riding_crop, Riding Crop
animania:milk_bottle, Bottle of Milk
animania:brown_egg, Egg
animania:wheel, Wheel
animania:super_omelette, Super Omelette
animania:truffle_omelette, Truffle Omelette
animania:bacon_omelette, Bacon Omelette
animania:cheese_omelette, Cheese Omelette
animania:plain_omelette, Plain Omelette
animania:truffle, Truffle
animania:truffle_soup, Truffle Soup
animania:chocolate_truffle, Chocolate Truffle
animania:honey_bottle, Bottle of Honey
animania:raw_prime_beef, Raw Prime Beef
animania:cooked_prime_beef, Roast Prime Beef
animania:raw_prime_steak, Raw Prime Steak
animania:cooked_prime_steak, Roast Prime Steak
animania:raw_prime_pork, Raw Prime Pork
animania:cooked_prime_pork, Roast Prime Pork
animania:raw_prime_bacon, Raw Prime Bacon
animania:cooked_prime_bacon, Roast Prime Bacon
animania:raw_prime_chicken, Raw Prime Chicken
animania:cooked_prime_chicken, Roast Prime Chicken
animania:raw_prime_mutton, Raw Prime Mutton
animania:cooked_prime_mutton, Roast Prime Mutton
animania:raw_horse, Raw Horse
animania:cooked_horse, Cooked Horse
animania:raw_chevon, Raw Chevon
animania:cooked_chevon, Roast Chevon
animania:raw_prime_chevon, Raw Prime Chevon
animania:cooked_prime_chevon, Roast Prime Chevon
animania:friesian_cheese_wedge, Cheese Wedge (Friesian)
animania:holstein_cheese_wedge, Cheese Wedge (Holstein)
animania:jersey_cheese_wedge, Cheese Wedge (Jersey)
animania:goat_cheese_wedge, Cheese Wedge (Goat)
animania:sheep_cheese_wedge, Cheese Wedge (Sheep)
animania:entity_egg_cow_random, item.animania_entity_egg_cow_random.name
animania:entity_egg_pig_random, item.animania_entity_egg_pig_random.name
animania:entity_egg_chicken_random, item.animania_entity_egg_chicken_random.name
animania:entity_egg_goat_random, item.animania_entity_egg_goat_random.name
animania:entity_egg_sheep_random, item.animania_entity_egg_sheep_random.name
animania:friesian_cheese_wheel, Cheese Wheel (Friesian)
animania:holstein_cheese_wheel, Cheese Wheel (Holstein)
animania:jersey_cheese_wheel, Cheese Wheel (Jersey)
animania:goat_cheese_wheel, Cheese Wheel (Goat)
animania:sheep_cheese_wheel, Cheese Wheel (Sheep)
animania:cheese_mold, Cheese Mold
animania:wool:0, Wool (Dorset, Brown)
animania:wool:1, Wool (Friesian, Black)
animania:wool:2, Wool (Friesian, Brown)
animania:wool:3, Wool (Jacob)
animania:wool:4, Wool (Merino, Brown)
animania:wool:5, Wool (Merino, White)
animania:wool:6, Wool (Suffolk, Brown)
animania:bee_hive, Bee Hive
animania:wild_hive, Bee Nest
betterunderground:blockflora:0, Glowcap
betterunderground:blockflora:1, Glowcap
betterunderground:blockflora:2, Glowcap
betterunderground:blockflora:3, Glowcap
betterunderground:blockflora:4, Glowcap
betterunderground:blockflora:5, Glowcap
betterunderground:blockflora:6, Glowcap
betterunderground:blockflora:7, Glowcap
betterunderground:blockflora:8, Glowcap
betterunderground:blockflora:9, Glowcap
betterunderground:blockdecorations:0, Icicle
betterunderground:blockdecorations:1, Icicle
betterunderground:blockdecorations:2, Icicle
betterunderground:blockfossils:0, Bone Pile
betterunderground:mossydirt:0, Mossy Dirt
betterunderground:blockstonestalactite:0, Stone Stalactite
betterunderground:blockstonestalactite:1, Stone Stalactite
betterunderground:blockstonestalactite:2, Stone Stalactite
betterunderground:blockstonestalactite:3, Stone Stalactite
betterunderground:blockstonestalactite:4, Stone Stalactite
betterunderground:blockstonestalactite:5, Stone Stalactite
betterunderground:blockstonestalactite:6, Stone Stalactite
betterunderground:blockstonestalactite:7, Stone Stalactite
betterunderground:blockstonestalactite:8, Stone Stalactite
betterunderground:blockstonestalactite:9, Stone Stalactite
betterunderground:blockstonestalactite:10, Stone Stalactite
betterunderground:blockstonestalactite:11, Stone Stalactite
betterunderground:blockstonestalactite:12, Stone Stalactite
betterunderground:blocksandstonestalactite:0, Sandstone Stalactite
betterunderground:blocksandstonestalactite:1, Sandstone Stalactite
betterunderground:blocksandstonestalactite:2, Sandstone Stalactite
betterunderground:blocksandstonestalactite:3, Sandstone Stalactite
betterunderground:blocksandstonestalactite:4, Sandstone Stalactite
betterunderground:blocksandstonestalactite:5, Sandstone Stalactite
betterunderground:blocksandstonestalactite:6, Sandstone Stalactite
betterunderground:blocksandstonestalactite:7, Sandstone Stalactite
betterunderground:blocksandstonestalactite:8, Sandstone Stalactite
betterunderground:blocksandstonestalactite:9, Sandstone Stalactite
betterunderground:blocksandstonestalactite:10, Sandstone Stalactite
betterunderground:blocksandstonestalactite:11, Sandstone Stalactite
betterunderground:blocksandstonestalactite:12, Sandstone Stalactite
betternether:block_eyeball, Eyeball Block
betternether:block_eyeball_small, Small Eyeball Block
betternether:eye_seed, Eye Seed
betternether:netherrack_moss, Nether Moss
betternether:nether_grass, Nether Grass
betternether:nether_reed, Nether Reed
betternether:stalagnate_stem, Stalagnate
betternether:stalagnate_seed, Stalagnate Seed
betternether:stalagnate_bark, Block of Stalagnates
betternether:stalagnate_planks, Stalagnate Planks
betternether:stalagnate_planks_stairs, Stalagnate Stairs
betternether:stalagnate_planks_slab_half:0, Stalagnate Slab
betternether:stalagnate_planks_fence, Stalagnate Fence
betternether:stalagnate_planks_gate, Stalagnate Fence Gate
betternether:stalagnate_planks_button, Stalagnate Button
betternether:stalagnate_planks_plate, Stalagnate Pressure Plate
betternether:reeds_block, Block of Nether Reeds
betternether:reeds_stairs, Nether Reed Stairs
betternether:reeds_slab_half:0, Nether Reed Slab
betternether:reeds_fence, Nether Reed Fence
betternether:reeds_gate, Nether Reed Fence Gate
betternether:reeds_button, Nether Reed Button
betternether:reeds_plate, Nether Reed Pressure Plate
betternether:lucis_spore, Lucis Spore
betternether:nether_cactus, Nether Cactus
betternether:wart_seed, Wart Seed
betternether:barrel_cactus, Barrel Cactus
betternether:agave, Agave
betternether:black_bush, Black Bush
betternether:ink_bush_seed, Ink Bush Seed
betternether:smoker, Smoker Plant
betternether:egg_plant, Egg Plant
betternether:black_apple_seed, Black Apple Seed
betternether:magma_flower, Magma Flower Seed
betternether:nether_mycelium, Nether Mycelium
betternether:orange_mushroom, Purpletop Mushroom
betternether:red_mold, Red Mold
betternether:gray_mold, Gray Mold
betternether:cincinnasite_ore, Cincinnasite Ore
betternether:cincinnasite_block, Cincinnasite Block
betternether:cincinnasite_forged, Forged Cincinnasite Block
betternether:cincinnasite_pillar, Cincinnasite Pillar
betternether:cincinnasite_bricks, Cincinnasite Bricks
betternether:cincinnasite_brick_plate, Cincinnasite Brick Plate
betternether:cincinnasite_stairs, Cincinnasite Stairs
betternether:cincinnasite_slab_half:0, Cincinnasite Slab
betternether:cincinnasite_button, Cincinnasite Button
betternether:cincinnasite_plate, Cincinnasite Plate
betternether:cincinnasite_lantern, Cincinnasite Lantern
betternether:cincinnasite_tile_large, Large Cincinnasite Tile
betternether:cincinnasite_tile_small, Small Cincinnasite Tile
betternether:cincinnasite_carved, Carved Cincinnasite
betternether:nether_brick_tile_large, Large Nether Brick Tile
betternether:nether_brick_tile_small, Small Nether Brick Tile
betternether:cincinnasite_wall, Cincinnasite Wall
betternether:bone_block, Hardened Bone Block
betternether:bone_stairs, Hardened Bone Stairs
betternether:bone_slab_half:0, Hardened Bone Slab
betternether:bone_button, Hardened Bone Button
betternether:bone_plate, Hardened Bone Pressure Plate
betternether:cincinnasite_fire_bowl, Cincinnasite Fire Bowl
betternether:bone_wall, Hardened Bone Wall
betternether:nether_brick_wall, Nether Brick Tile Wall
betternether:nether_brick_tile_slab_half:0, Small Nether Brick Tile Slab
betternether:nether_brick_tile_stairs, Small Nether Brick Tile Stairs
betternether:bone_mushroom, Bone Mushroom Spores
betternether:reeds_ladder, Nether Reed Ladder
betternether:cincinnasite_bricks_pillar, Cincinnasite Brick Pillar
betternether:bone_tile, Hardened Bone Tile
betternether:cincinnasite_pedestal, Cincinnasite Pedestal
betternether:pig_statue_01, Statue of Reincarnation
betternether:cincinnasite_pot, Cincinnasite Pot
betternether:cincinnasite_frame, Cincinnasite Frame
betternether:quartz_glass, Quartz Glass
betternether:quartz_glass_framed, Framed Quartz Glass
betternether:quartz_stained_glass:0, White Stained Quartz Glass
betternether:quartz_stained_glass:1, Orange Stained Quartz Glass
betternether:quartz_stained_glass:2, Magenta Stained Quartz Glass
betternether:quartz_stained_glass:3, Light Blue Stained Quartz Glass
betternether:quartz_stained_glass:4, Yellow Stained Quartz Glass
betternether:quartz_stained_glass:5, Lime Stained Quartz Glass
betternether:quartz_stained_glass:6, Pink Stained Quartz Glass
betternether:quartz_stained_glass:7, Gray Stained Quartz Glass
betternether:quartz_stained_glass:8, Silver Stained Quartz Glass
betternether:quartz_stained_glass:9, Cyan Stained Quartz Glass
betternether:quartz_stained_glass:10, Purple Stained Quartz Glass
betternether:quartz_stained_glass:11, Blue Stained Quartz Glass
betternether:quartz_stained_glass:12, Brown Stained Quartz Glass
betternether:quartz_stained_glass:13, Green Stained Quartz Glass
betternether:quartz_stained_glass:14, Red Stained Quartz Glass
betternether:quartz_stained_glass:15, Black Stained Quartz Glass
betternether:cincinnasite_bars, Cincinnasite Bars
betternether:quartz_glass_pane, Quartz Glass Pane
betternether:quartz_glass_framed_pane, Framed Quartz Glass Pane
betternether:cincinnasite_forge, Cincinnasite Forge
betternether:netherrack_furnace, Netherrack Furnace
betternether:bone_reed_door, Bone-Reed Door
betternether:bone_cincinnasite_door, Bone-Cincinnasite Door
betternether:quartz_stained_glass_framed:0, Framed White Stained Quartz Glass
betternether:quartz_stained_glass_framed:1, Framed Orange Stained Quartz Glass
betternether:quartz_stained_glass_framed:2, Framed Magenta Stained Quartz Glass
betternether:quartz_stained_glass_framed:3, Framed Light Blue Stained Quartz Glass
betternether:quartz_stained_glass_framed:4, Framed Yellow Stained Quartz Glass
betternether:quartz_stained_glass_framed:5, Framed Lime Stained Quartz Glass
betternether:quartz_stained_glass_framed:6, Framed Pink Stained Quartz Glass
betternether:quartz_stained_glass_framed:7, Framed Gray Stained Quartz Glass
betternether:quartz_stained_glass_framed:8, Framed Silver Stained Quartz Glass
betternether:quartz_stained_glass_framed:9, Framed Cyan Stained Quartz Glass
betternether:quartz_stained_glass_framed:10, Framed Purple Stained Quartz Glass
betternether:quartz_stained_glass_framed:11, Framed Blue Stained Quartz Glass
betternether:quartz_stained_glass_framed:12, Framed Brown Stained Quartz Glass
betternether:quartz_stained_glass_framed:13, Framed Green Stained Quartz Glass
betternether:quartz_stained_glass_framed:14, Framed Red Stained Quartz Glass
betternether:quartz_stained_glass_framed:15, Framed Black Stained Quartz Glass
betternether:chest_of_drawers, Cincinnasite Drawer
betternether:black_apple, Black Apple
betternether:cincinnasite, Cincinnasite
betternether:stalagnate_bowl, Stalagnate Bowl
betternether:stalagnate_bowl_wart, Wart Soup
betternether:stalagnate_bowl_mushroom, Mushroom Soup
betternether:stalagnate_bowl_apple, Black Apple
carryon:tile_item, item.tile_item.name
carryon:entity_item, item.entity_item.name
dmp:wkben_drill, Drill Press
dmp:wkben_found, Foundry
dmp:wkben_lathe, Lathe
dmp:wkben_sandt, Sanding Table
dmp:wkben_tabls, Table Saw
dmp:barsm_acaci, Acacia Small Barrel
dmp:barsm_birch, Birch Small Barrel
dmp:barsm_dkoak, Dark Oak Small Barrel
dmp:barsm_jungl, Jungle Small Barrel
dmp:barsm_oak, Oak Small Barrel
dmp:barsm_spruc, Spruce Small Barrel
dmp:barlg_acaci, Acacia Large Barrel
dmp:barlg_birch, Birch Large Barrel
dmp:barlg_dkoak, Dark Oak Large Barrel
dmp:barlg_jungl, Jungle Large Barrel
dmp:barlg_oak, Oak Large Barrel
dmp:barlg_spruc, Spruce Large Barrel
dmp:benwd_acaci, Acacia Bench
dmp:benwd_birch, Birch Bench
dmp:benwd_dkoak, Dark Oak Bench
dmp:benwd_jungl, Jungle Bench
dmp:benwd_oak, Oak Bench
dmp:benwd_spruc, Spruce Bench
dmp:benwm_acaci, Acacia Metal Arm Bench
dmp:benwm_birch, Birch Metal Arm Bench
dmp:benwm_dkoak, Dark Oak Metal Arm Bench
dmp:benwm_jungl, Jungle Metal Arm Bench
dmp:benwm_oak, Oak Metal Arm Bench
dmp:benwm_spruc, Spruce Metal Arm Bench
dmp:benst_andes, Andesite Bench
dmp:benst_cobbl, Cobblestone Bench
dmp:benst_diori, Diorite Bench
dmp:benst_grani, Granite Bench
dmp:benst_prism, Prismarine Bench
dmp:benst_quart, Quartz Bench
dmp:benst_redsa, Red Sandstone Bench
dmp:benst_sands, Sandstone Bench
dmp:benst_stone, Stone Bench
dmp:boxsm_acaci, Acacia Small Box
dmp:boxme_acaci, Acacia Medium Box
dmp:boxlg_acaci, Acacia Large Box
dmp:boxsm_birch, Birch Small Box
dmp:boxme_birch, Birch Medium Box
dmp:boxlg_birch, Birch Large Box
dmp:boxsm_dkoak, Dark Oak Small Box
dmp:boxme_dkoak, Dark Oak Medium Box
dmp:boxlg_dkoak, Dark Oak Large Box
dmp:boxsm_jungl, Jungle Small Box
dmp:boxme_jungl, Jungle Medium Box
dmp:boxlg_jungl, Jungle Large Box
dmp:boxsm_oak, Oak Small Box
dmp:boxme_oak, Oak Medium Box
dmp:boxlg_oak, Oak Large Box
dmp:boxsm_spruc, Spruce Small Box
dmp:boxme_spruc, Spruce Medium Box
dmp:boxlg_spruc, Spruce Large Box
dmp:cabbd_acaci, Acacia Doors Base Cabinet
dmp:cabb2_acaci, Acacia 2 Drawer Base Cabinet
dmp:cabb3_acaci, Acacia 3 Drawer Base Cabinet
dmp:cabbs_acaci, Acacia Sink Base Cabinet
dmp:cabbd_birch, Birch Doors Base Cabinet
dmp:cabb2_birch, Birch 2 Drawer Base Cabinet
dmp:cabb3_birch, Birch 3 Drawer Base Cabinet
dmp:cabbs_birch, Birch Sink Base Cabinet
dmp:cabbd_dkoak, Dark Oak Doors Base Cabinet
dmp:cabb2_dkoak, Dark Oak 2 Drawer Base Cabinet
dmp:cabb3_dkoak, Dark Oak 3 Drawer Base Cabinet
dmp:cabbs_dkoak, Dark Oak Sink Base Cabinet
dmp:cabbd_jungl, Jungle Doors Base Cabinet
dmp:cabb2_jungl, Jungle 2 Drawer Base Cabinet
dmp:cabb3_jungl, Jungle 3 Drawer Base Cabinet
dmp:cabbs_jungl, Jungle Sink Base Cabinet
dmp:cabbd_oak, Oak Doors Base Cabinet
dmp:cabb2_oak, Oak 2 Drawer Base Cabinet
dmp:cabb3_oak, Oak 3 Drawer Base Cabinet
dmp:cabbs_oak, Oak Sink Base Cabinet
dmp:cabbd_spruc, Spruce Doors Base Cabinet
dmp:cabb2_spruc, Spruce 2 Drawer Base Cabinet
dmp:cabb3_spruc, Spruce 3 Drawer Base Cabinet
dmp:cabbs_spruc, Spruce Sink Base Cabinet
dmp:cabwd_acaci, Acacia Wall Cabinet
dmp:cabwg_acaci, Acacia Glass Wall Cabinet
dmp:cabwd_birch, Birch Wall Cabinet
dmp:cabwg_birch, Birch Glass Wall Cabinet
dmp:cabwd_dkoak, Dark Oak Wall Cabinet
dmp:cabwg_dkoak, Dark Oak Glass Wall Cabinet
dmp:cabwd_jungl, Jungle Wall Cabinet
dmp:cabwg_jungl, Jungle Glass Wall Cabinet
dmp:cabwd_oak, Oak Wall Cabinet
dmp:cabwg_oak, Oak Glass Wall Cabinet
dmp:cabwd_spruc, Spruce Wall Cabinet
dmp:cabwg_spruc, Spruce Glass Wall Cabinet
dmp:cande_gold, Gold Candelabra
dmp:cande_iron, Iron Candelabra
dmp:cande_blkir, Black Iron Candelabra
dmp:capcs_gold, Gold Small Cross Cap
dmp:capcl_gold, Gold Large Cross Cap
dmp:capos_gold, Gold Small Oval Cap
dmp:capol_gold, Gold Large Oval Cap
dmp:capps_gold, Gold Small Pyramid Cap
dmp:cappl_gold, Gold Large Pyramid Cap
dmp:caprs_gold, Gold Small Round Cap
dmp:caprl_gold, Gold Large Round Cap
dmp:capss_gold, Gold Small Square Cap
dmp:capsl_gold, Gold Large Square Cap
dmp:capcs_iron, Iron Small Cross Cap
dmp:capcl_iron, Iron Large Cross Cap
dmp:capos_iron, Iron Small Oval Cap
dmp:capol_iron, Iron Large Oval Cap
dmp:capps_iron, Iron Small Pyramid Cap
dmp:cappl_iron, Iron Large Pyramid Cap
dmp:caprs_iron, Iron Small Round Cap
dmp:caprl_iron, Iron Large Round Cap
dmp:capss_iron, Iron Small Square Cap
dmp:capsl_iron, Iron Large Square Cap
dmp:capcs_blkir, Black Iron Small Cross Cap
dmp:capcl_blkir, Black Iron Large Cross Cap
dmp:capos_blkir, Black Iron Small Oval Cap
dmp:capol_blkir, Black Iron Large Oval Cap
dmp:capps_blkir, Black Iron Small Pyramid Cap
dmp:cappl_blkir, Black Iron Large Pyramid Cap
dmp:caprs_blkir, Black Iron Small Round Cap
dmp:caprl_blkir, Black Iron Large Round Cap
dmp:capss_blkir, Black Iron Small Square Cap
dmp:capsl_blkir, Black Iron Large Square Cap
dmp:chais_gold, Gold Small Chain
dmp:chail_gold, Gold Large Chain
dmp:chais_iron, Iron Small Chain
dmp:chail_iron, Iron Large Chain
dmp:chais_blkir, Black Iron Small Chain
dmp:chail_blkir, Black Iron Large Chain
dmp:chrwd_acaci, Acacia Chair
dmp:chrwd_birch, Birch Chair
dmp:chrwd_dkoak, Dark Oak Chair
dmp:chrwd_jungl, Jungle Chair
dmp:chrwd_oak, Oak Chair
dmp:chrwd_spruc, Spruce Chair
dmp:chrwm_acaci, Acacia Metal Arm Chair
dmp:chrwm_birch, Birch Metal Arm Chair
dmp:chrwm_dkoak, Dark Oak Metal Arm Chair
dmp:chrwm_jungl, Jungle Metal Arm Chair
dmp:chrwm_oak, Oak Metal Arm Chair
dmp:chrwm_spruc, Spruce Metal Arm Chair
dmp:chanr_gold, Gold Round Chandelier
dmp:chanr_iron, Iron Round Chandelier
dmp:chanr_blkir, Black Iron Round Chandelier
dmp:chang_red, Red Chandelier Gems
dmp:chang_ora, Orange Chandelier Gems
dmp:chang_yel, Yellow Chandelier Gems
dmp:chang_grn, Green Chandelier Gems
dmp:chang_cya, Cyan Chandelier Gems
dmp:chang_blu, Blue Chandelier Gems
dmp:chang_pnk, Pink Chandelier Gems
dmp:chang_pur, Purple Chandelier Gems
dmp:chang_wht, White Chandelier Gems
dmp:chang_blk, Black Chandelier Gems
dmp:ctrwd_acaci, Acacia Coat Rack
dmp:ctrwd_birch, Birch Coat Rack
dmp:ctrwd_dkoak, Dark Oak Coat Rack
dmp:ctrwd_jungl, Jungle Coat Rack
dmp:ctrwd_oak, Oak Coat Rack
dmp:ctrwd_spruc, Spruce Coat Rack
dmp:ctrme_gold, Gold Coat Rack
dmp:ctrme_iron, Iron Coat Rack
dmp:ctrme_blkir, Black Iron Coat Rack
dmp:crate_acaci, Acacia Crate
dmp:crate_birch, Birch Crate
dmp:crate_dkoak, Dark Oak Crate
dmp:crate_jungl, Jungle Crate
dmp:crate_oak, Oak Crate
dmp:crate_spruc, Spruce Crate
dmp:curib_gold, Gold Curio Base
dmp:curid_gold, Gold Curio Display
dmp:curir_gold, Gold Curio Rotator
dmp:curib_iron, Iron Curio Base
dmp:curid_iron, Iron Curio Display
dmp:curir_iron, Iron Curio Rotator
dmp:curib_blkir, Black Iron Curio Base
dmp:curid_blkir, Black Iron Curio Display
dmp:curir_blkir, Black Iron Curio Rotator
dmp:currw_acaci, Acacia Curtain Rod
dmp:currw_birch, Birch Curtain Rod
dmp:currw_dkoak, Dark Oak Curtain Rod
dmp:currw_jungl, Jungle Curtain Rod
dmp:currw_oak, Oak Curtain Rod
dmp:currw_spruc, Spruce Curtain Rod
dmp:currm_gold, Gold Curtain Rod
dmp:currm_iron, Iron Curtain Rod
dmp:currm_blkir, Black Iron Curtain Rod
dmp:curtw_wht, White Wool Curtain
dmp:curtw_ora, Orange Wool Curtain
dmp:curtw_mag, Magenta Wool Curtain
dmp:curtw_lbl, Light Blue Wool Curtain
dmp:curtw_yel, Yellow Wool Curtain
dmp:curtw_lim, Lime Wool Curtain
dmp:curtw_pnk, Pink Wool Curtain
dmp:curtw_gry, Gray Wool Curtain
dmp:curtw_lgy, Light Gray Wool Curtain
dmp:curtw_cya, Cyan Wool Curtain
dmp:curtw_pur, Purple Wool Curtain
dmp:curtw_blu, Blue Wool Curtain
dmp:curtw_brn, Brown Wool Curtain
dmp:curtw_grn, Green Wool Curtain
dmp:curtw_red, Red Wool Curtain
dmp:curtw_blk, Black Wool Curtain
dmp:dskbw_acaci, Acacia Desk Base
dmp:dskbw_birch, Birch Desk Base
dmp:dskbw_dkoak, Dark Oak Desk Base
dmp:dskbw_jungl, Jungle Desk Base
dmp:dskbw_oak, Oak Desk Base
dmp:dskbw_spruc, Spruce Desk Base
dmp:dskhw_acaci, Acacia Desk Hutch
dmp:dskhw_birch, Birch Desk Hutch
dmp:dskhw_dkoak, Dark Oak Desk Hutch
dmp:dskhw_jungl, Jungle Desk Hutch
dmp:dskhw_oak, Oak Desk Hutch
dmp:dskhw_spruc, Spruce Desk Hutch
dmp:fdtrf_acaci, Acacia Food Trough
dmp:fdtrf_birch, Birch Food Trough
dmp:fdtrf_dkoak, Dark Oak Food Trough
dmp:fdtrf_jungl, Jungle Food Trough
dmp:fdtrf_oak, Oak Food Trough
dmp:fdtrf_spruc, Spruce Food Trough
dmp:fdtrw_acaci, Acacia Water Trough
dmp:fdtrw_birch, Birch Water Trough
dmp:fdtrw_dkoak, Dark Oak Water Trough
dmp:fdtrw_jungl, Jungle Water Trough
dmp:fdtrw_oak, Oak Water Trough
dmp:fdtrw_spruc, Spruce Water Trough
dmp:firpb_gold, Gold Fireplace Bellows
dmp:firpt_gold, Gold Fireplace Tools
dmp:firps_gold, Gold Fireplace Screen
dmp:firpw_gold, Gold Fireplace Wood Rack
dmp:firpb_iron, Iron Fireplace Bellows
dmp:firpt_iron, Iron Fireplace Tools
dmp:firps_iron, Iron Fireplace Screen
dmp:firpw_iron, Iron Fireplace Wood Rack
dmp:firpb_blkir, Black Iron Fireplace Bellows
dmp:firpt_blkir, Black Iron Fireplace Tools
dmp:firps_blkir, Black Iron Fireplace Screen
dmp:firpw_blkir, Black Iron Fireplace Wood Rack
dmp:founw_andes, Andesite Water Fountain
dmp:founw_cobbl, Cobblestone Water Fountain
dmp:founw_diori, Diorite Water Fountain
dmp:founw_grani, Granite Water Fountain
dmp:founw_prism, Prismarine Water Fountain
dmp:founw_quart, Quartz Water Fountain
dmp:founw_redsa, Red Sandstone Water Fountain
dmp:founw_sands, Sandstone Water Fountain
dmp:founw_stone, Stone Water Fountain
dmp:founl_andes, Andesite Lava Fountain
dmp:founl_cobbl, Cobblestone Lava Fountain
dmp:founl_diori, Diorite Lava Fountain
dmp:founl_grani, Granite Lava Fountain
dmp:founl_prism, Prismarine Lava Fountain
dmp:founl_quart, Quartz Lava Fountain
dmp:founl_redsa, Red Sandstone Lava Fountain
dmp:founl_sands, Sandstone Lava Fountain
dmp:founl_stone, Stone Lava Fountain
dmp:framw_acaci, Acacia Frame
dmp:framw_birch, Birch Frame
dmp:framw_dkoak, Dark Oak Frame
dmp:framw_jungl, Jungle Frame
dmp:framw_oak, Oak Frame
dmp:framw_spruc, Spruce Frame
dmp:framm_gold, Gold Frame
dmp:framm_iron, Iron Frame
dmp:framm_blkir, Black Iron Frame
dmp:hanpa_acaci, Acacia Panel Handrail
dmp:hanpi_acaci, Acacia Pickets Handrail
dmp:hanpa_birch, Birch Panel Handrail
dmp:hanpi_birch, Birch Pickets Handrail
